Gene ID	Gene name	Infection/Control : logFC	Infection/Control : logCPM	Infection/Control : PValue	Infection/Control : QValue
ENSMUSG00000021115	Vrk1	0.53	4.32	0.05	0.27
ENSMUSG00000091762	Gm3191	-0.41	-2.21	1.00	1.00
ENSMUSG00000091442	Gm17031	-0.71	-2.45	1.00	1.00
ENSMUSG00000091887	Gm17053	-1.60	-2.65	0.93	1.00
ENSMUSG00000086319	Gm16087	0.19	-2.27	1.00	1.00
ENSMUSG00000082362	Gm5187	0.44	-2.73	1.00	1.00
ENSMUSG00000090607	Gm17052	-0.19	-2.80	1.00	1.00
ENSMUSG00000085641	4930465M20Rik	-2.51	-2.80	0.88	1.00
ENSMUSG00000048251	Bcl11b	-0.46	6.99	0.13	0.55
ENSMUSG00000056770	Setd3	0.10	6.15	0.84	1.00
ENSMUSG00000021258	Ccnk	0.76	4.59	0.00	0.03
ENSMUSG00000084883	Ccdc85c	-1.11	-2.51	0.97	1.00
ENSMUSG00000021260	Hhipl1	-1.72	-2.88	1.00	1.00
ENSMUSG00000097847	4930478K11Rik	-1.70	-2.39	0.63	1.00
ENSMUSG00000021259	Cyp46a1	-0.49	6.14	0.02	0.17
ENSMUSG00000058070	Eml1	-0.52	5.15	0.20	0.73
ENSMUSG00000082203	Gm15636	0.82	-2.45	0.95	1.00
ENSMUSG00000097788	Gm16596	-0.69	0.07	0.42	1.00
ENSMUSG00000021262	Evl	0.30	5.97	0.88	1.00
ENSMUSG00000021263	Degs2	-0.64	1.12	0.22	0.77
ENSMUSG00000021264	Yy1	-0.06	5.31	0.94	1.00
ENSMUSG00000021265	Slc25a29	-0.01	3.82	1.00	1.00
ENSMUSG00000048856	Slc25a47	-0.14	1.29	0.92	1.00
ENSMUSG00000021266	Wars	0.34	6.02	0.18	0.68
ENSMUSG00000040877	Wdr25	0.13	2.03	0.88	1.00
ENSMUSG00000040867	Begain	-1.00	5.25	0.00	0.00
ENSMUSG00000040856	Dlk1	-0.74	4.39	0.03	0.22
ENSMUSG00000021268	Meg3	-0.58	13.03	0.00	0.02
ENSMUSG00000097698	Gm26906	-1.24	-2.32	0.56	1.00
ENSMUSG00000085925	Rtl1	-1.59	0.62	0.24	0.81
ENSMUSG00000097451	Rian	-0.77	7.58	0.00	0.00
ENSMUSG00000098061	Gm26945	-0.47	1.58	0.38	1.00
ENSMUSG00000098202	B830012L14Rik	-0.64	4.56	0.00	0.03
ENSMUSG00000097391	Mirg	-0.98	6.83	0.00	0.00
ENSMUSG00000075707	Dio3	-0.89	0.56	0.45	1.00
ENSMUSG00000017843	Ppp2r5c	-0.40	6.24	0.05	0.28
ENSMUSG00000018707	Dync1h1	-0.14	8.65	0.73	1.00
ENSMUSG00000056508	1700001K19Rik	-2.48	-2.80	0.88	1.00
ENSMUSG00000021270	Hsp90aa1	-0.42	7.71	0.07	0.37
ENSMUSG00000037957	Wdr20	0.12	4.14	0.81	1.00
ENSMUSG00000056458	Mok	-0.38	1.77	0.48	1.00
ENSMUSG00000097650	4921507G05Rik	0.74	-2.01	1.00	1.00
ENSMUSG00000097832	Gm26912	-0.68	-1.97	0.93	1.00
ENSMUSG00000021271	Zfp839	-0.24	3.23	0.65	1.00
ENSMUSG00000091498	Mpc1-ps	-0.10	-1.98	1.00	1.00
ENSMUSG00000021276	Cinp	-0.23	4.33	0.65	1.00
ENSMUSG00000021275	Tecpr2	-0.37	4.70	0.32	0.94
ENSMUSG00000096942	Rps19-ps6	0.38	6.18	0.08	0.42
ENSMUSG00000037904	Ankrd9	-0.26	3.67	0.51	1.00
ENSMUSG00000037896	Rcor1	0.01	4.66	1.00	1.00
ENSMUSG00000083193	4930595D18Rik	2.76	-2.72	0.67	1.00
ENSMUSG00000021277	Traf3	-0.17	5.33	0.66	1.00
ENSMUSG00000021278	Amn	-0.50	2.71	0.28	0.88
ENSMUSG00000097381	A230087F16Rik	-0.79	1.09	0.33	0.97
ENSMUSG00000021279	Cdc42bpb	0.15	5.75	0.88	1.00
ENSMUSG00000087075	A230065H16Rik	-0.88	1.23	0.04	0.26
ENSMUSG00000021280	Exoc3l4	1.29	1.26	0.00	0.02
ENSMUSG00000097081	Gm10425	3.55	-1.74	0.00	0.04
ENSMUSG00000021281	Tnfaip2	4.44	5.14	0.00	0.00
ENSMUSG00000010529	Gm266	0.11	2.42	0.93	1.00
ENSMUSG00000021282	Eif5	0.33	8.23	0.13	0.58
ENSMUSG00000096995	2810029C07Rik	-0.10	3.43	0.88	1.00
ENSMUSG00000007411	Mark3	-0.07	6.42	0.89	1.00
ENSMUSG00000001270	Ckb	-0.19	10.13	0.66	1.00
ENSMUSG00000060950	Trmt61a	-0.07	3.43	0.96	1.00
ENSMUSG00000049792	Bag5	0.15	5.12	0.68	1.00
ENSMUSG00000037787	Apopt1	-0.08	4.10	0.91	1.00
ENSMUSG00000021288	Klc1	-0.18	9.05	0.55	1.00
ENSMUSG00000021287	Xrcc3	-1.08	2.51	0.00	0.00
ENSMUSG00000021286	Zfyve21	0.04	3.11	1.00	1.00
ENSMUSG00000021285	Ppp1r13b	0.04	4.78	1.00	1.00
ENSMUSG00000021290	2010107E04Rik	-0.59	8.09	0.00	0.02
ENSMUSG00000054003	Tdrd9	-0.11	-1.06	1.00	1.00
ENSMUSG00000091402	Rd3l	-0.03	0.15	1.00	1.00
ENSMUSG00000037686	Aspg	2.18	2.36	0.00	0.00
ENSMUSG00000021294	Kif26a	-0.05	3.18	1.00	1.00
ENSMUSG00000047828	A730018C14Rik	-1.47	-2.27	0.56	1.00
ENSMUSG00000043122	A530016L24Rik	-6.63	-1.05	0.06	0.34
ENSMUSG00000054013	Tmem179	-0.38	6.22	0.10	0.47
ENSMUSG00000037679	Inf2	-0.50	6.04	0.01	0.10
ENSMUSG00000011148	Adssl1	-0.02	3.78	1.00	1.00
ENSMUSG00000064326	Siva1	0.15	3.68	0.80	1.00
ENSMUSG00000001729	Akt1	0.24	6.24	0.54	1.00
ENSMUSG00000037638	Zbtb42	1.77	0.63	0.00	0.05
ENSMUSG00000072825	Cep170b	-0.53	7.42	0.01	0.09
ENSMUSG00000052160	Pld4	3.10	4.10	0.00	0.00
ENSMUSG00000072812	Ahnak2	0.37	2.68	0.40	1.00
ENSMUSG00000037594	BC022687	-0.09	3.13	0.95	1.00
ENSMUSG00000047832	Cdca4	0.76	2.49	0.06	0.34
ENSMUSG00000021298	Gpr132	4.80	1.57	0.00	0.00
ENSMUSG00000002799	Jag2	-0.02	1.02	1.00	1.00
ENSMUSG00000002804	Nudt14	-0.01	3.02	1.00	1.00
ENSMUSG00000097476	Gm26583	2.34	-0.37	0.13	0.56
ENSMUSG00000011158	Brf1	0.10	4.47	0.86	1.00
ENSMUSG00000002803	Btbd6	-0.35	4.35	0.20	0.73
ENSMUSG00000097100	9230104M06Rik	1.39	-2.89	1.00	1.00
ENSMUSG00000021143	Pacs2	0.03	6.32	1.00	1.00
ENSMUSG00000021144	Mta1	0.00	5.86	1.00	1.00
ENSMUSG00000006356	Crip2	-0.14	6.21	0.71	1.00
ENSMUSG00000006360	Crip1	0.94	3.27	0.02	0.12
ENSMUSG00000037466	4930427A07Rik	1.09	0.17	0.07	0.37
ENSMUSG00000049036	Tmem121	-0.50	5.39	0.03	0.21
ENSMUSG00000095079	Igha	2.47	0.74	0.00	0.02
ENSMUSG00000087642	Ighe	2.28	-2.80	0.88	1.00
ENSMUSG00000076612	Ighg2c	-0.55	0.12	0.75	1.00
ENSMUSG00000076613	Ighg2b	3.50	-1.29	0.00	0.03
ENSMUSG00000076614	Ighg1	1.23	-2.39	0.86	1.00
ENSMUSG00000104218	Gm9134	-0.78	-0.50	0.40	1.00
ENSMUSG00000104213	Ighd	1.36	-0.72	0.54	1.00
ENSMUSG00000076617	Ighm	-0.16	4.20	0.83	1.00
ENSMUSG00000051804	Adam6b	2.28	-2.80	0.88	1.00
ENSMUSG00000104103	Gm9517	-0.82	1.63	0.03	0.22
ENSMUSG00000103271	Ighv4-2	1.53	-2.89	1.00	1.00
ENSMUSG00000102535	Ighv1-41	1.53	-2.89	1.00	1.00
ENSMUSG00000103439	Gm7019	0.91	-0.37	0.36	1.00
ENSMUSG00000103168	Gm30948	1.52	-2.89	1.00	1.00
ENSMUSG00000105599	Gm9238	1.71	-2.21	0.60	1.00
ENSMUSG00000105928	Gm9256	-1.10	-1.33	0.38	1.00
ENSMUSG00000106239	Gm9260	-0.83	-2.01	0.88	1.00
ENSMUSG00000042063	Zfp386	-0.02	4.39	1.00	1.00
ENSMUSG00000011171	Vipr2	0.23	1.88	0.77	1.00
ENSMUSG00000093765	Gm20658	4.24	-2.33	0.20	0.74
ENSMUSG00000042050	Wdr60	-0.48	4.60	0.13	0.56
ENSMUSG00000078984	Gm11027	0.61	-2.33	0.97	1.00
ENSMUSG00000021171	Esyt2	0.12	3.99	0.81	1.00
ENSMUSG00000042029	Ncapg2	1.48	2.48	0.00	0.01
ENSMUSG00000056553	Ptprn2	-0.15	3.51	0.80	1.00
ENSMUSG00000101814	Gm17807	-0.02	1.39	1.00	1.00
ENSMUSG00000099907	Gm10421	-0.36	-2.27	1.00	1.00
ENSMUSG00000041992	Rapgef5	-0.27	3.88	0.51	1.00
ENSMUSG00000021175	Cdca7l	0.35	1.23	0.77	1.00
ENSMUSG00000018581	Dnah11	-0.33	1.32	0.74	1.00
ENSMUSG00000025323	Sp4	0.05	4.80	0.98	1.00
ENSMUSG00000048562	Sp8	-0.31	1.50	0.78	1.00
ENSMUSG00000025321	Itgb8	0.40	5.18	0.14	0.59
ENSMUSG00000021908	Gm6768	0.08	5.38	0.90	1.00
ENSMUSG00000041886	Macc1	-0.07	-1.62	1.00	1.00
ENSMUSG00000048004	Tmem196	-0.34	0.12	0.74	1.00
ENSMUSG00000097709	2810429I04Rik	-0.83	0.07	0.35	0.98
ENSMUSG00000021218	Gdi2	0.13	6.90	0.72	1.00
ENSMUSG00000033799	Fam208b	0.77	3.29	0.01	0.09
ENSMUSG00000033781	Asb13	0.36	4.97	0.16	0.64
ENSMUSG00000063130	Calml3	1.09	-2.39	0.65	1.00
ENSMUSG00000033765	Calm4	-2.07	-2.58	0.84	1.00
ENSMUSG00000021215	Net1	0.82	4.22	0.01	0.10
ENSMUSG00000044988	Ucn3	-0.42	-2.39	1.00	1.00
ENSMUSG00000033715	Akr1c14	0.55	-0.39	0.66	1.00
ENSMUSG00000021214	Akr1c18	0.01	0.35	1.00	1.00
ENSMUSG00000021213	Akr1c13	1.97	0.22	0.00	0.01
ENSMUSG00000071551	Akr1c19	2.26	-2.80	0.88	1.00
ENSMUSG00000021211	Akr1c12	1.42	-2.32	0.77	1.00
ENSMUSG00000054757	Akr1c20	-1.73	-2.88	1.00	1.00
ENSMUSG00000045410	Akr1e1	-0.33	4.52	0.23	0.79
ENSMUSG00000094772	Rpl29-ps2	-0.71	-2.58	1.00	1.00
ENSMUSG00000100625	1700016G22Rik	2.66	-2.73	0.65	1.00
ENSMUSG00000000078	Klf6	1.45	6.61	0.00	0.00
ENSMUSG00000101540	Gm28465	-1.72	-2.88	1.00	1.00
ENSMUSG00000021193	Pitrm1	-0.29	4.26	0.75	1.00
ENSMUSG00000021196	Pfkp	-0.22	7.73	0.38	1.00
ENSMUSG00000068324	Gm10029	0.21	3.09	0.65	1.00
ENSMUSG00000052551	Adarb2	-0.42	3.51	0.15	0.62
ENSMUSG00000072421	Gm10357	-0.88	-2.72	1.00	1.00
ENSMUSG00000021147	Wdr37	0.09	6.14	0.84	1.00
ENSMUSG00000058258	Idi1	-0.40	4.41	0.31	0.93
ENSMUSG00000061988	Rpl10a-ps2	0.67	-0.60	0.58	1.00
ENSMUSG00000021148	Gm9745	-1.72	-2.88	1.00	1.00
ENSMUSG00000033520	Idi2	-0.22	-2.80	1.00	1.00
ENSMUSG00000021149	Gtpbp4	0.15	6.12	0.66	1.00
ENSMUSG00000033499	Larp4b	0.00	7.65	1.00	1.00
ENSMUSG00000048264	Dip2c	-0.23	5.08	0.40	1.00
ENSMUSG00000097859	Gm26601	-0.06	2.97	0.99	1.00
ENSMUSG00000021156	Zmynd11	-0.31	7.89	0.19	0.70
ENSMUSG00000046159	Chrm3	-0.69	5.94	0.03	0.19
ENSMUSG00000021313	Ryr2	-0.51	7.03	0.01	0.08
ENSMUSG00000021311	Mtr	0.74	2.67	0.06	0.34
ENSMUSG00000052374	Actn2	-0.54	2.09	0.15	0.61
ENSMUSG00000094185	Gm5445	-0.35	3.21	0.49	1.00
ENSMUSG00000050244	Heatr1	-0.17	1.17	0.88	1.00
ENSMUSG00000057554	Lgals8	1.48	5.40	0.00	0.00
ENSMUSG00000095105	Edaradd	-0.28	-0.54	0.94	1.00
ENSMUSG00000057069	Ero1lb	-0.18	3.73	0.68	1.00
ENSMUSG00000097715	Gpr137b-ps	1.18	2.55	0.01	0.11
ENSMUSG00000056457	Prl2c3	0.69	-2.66	1.00	1.00
ENSMUSG00000079092	Prl2c2	-0.23	-0.10	0.93	1.00
ENSMUSG00000055360	Prl2c5	-0.07	-2.34	1.00	1.00
ENSMUSG00000061724	Gm2423	0.34	-0.96	0.93	1.00
ENSMUSG00000021306	Gpr137b	0.18	3.65	0.82	1.00
ENSMUSG00000005397	Nid1	0.94	3.54	0.01	0.08
ENSMUSG00000019726	Lyst	0.23	4.72	0.51	1.00
ENSMUSG00000021303	Gng4	-0.68	5.25	0.01	0.09
ENSMUSG00000039242	B3galnt2	-0.04	2.45	1.00	1.00
ENSMUSG00000096192	Gm18856	1.39	-2.89	1.00	1.00
ENSMUSG00000039233	Tbce	0.30	5.29	0.73	1.00
ENSMUSG00000021302	Ggps1	0.42	4.53	0.09	0.43
ENSMUSG00000039219	Arid4b	-0.07	7.76	0.91	1.00
ENSMUSG00000021301	Hecw1	-0.57	6.47	0.01	0.10
ENSMUSG00000015672	Mrpl32	0.30	4.59	0.38	1.00
ENSMUSG00000015671	Psma2	0.85	6.98	0.00	0.00
ENSMUSG00000039182	AW209491	-0.60	4.33	0.06	0.33
ENSMUSG00000021318	Gli3	0.12	2.79	0.87	1.00
ENSMUSG00000041324	Inhba	-1.15	2.80	0.00	0.00
ENSMUSG00000055137	Sugct	-0.52	-2.22	0.97	1.00
ENSMUSG00000012429	Mplkip	-0.12	3.22	0.90	1.00
ENSMUSG00000041297	Cdk13	0.09	5.02	0.88	1.00
ENSMUSG00000081285	Gm18859	1.51	-2.89	1.00	1.00
ENSMUSG00000008859	Rala	-0.31	6.97	0.17	0.66
ENSMUSG00000075054	Yae1d1	-0.39	3.62	0.24	0.81
ENSMUSG00000075053	Vdac3-ps1	-0.15	5.25	0.66	1.00
ENSMUSG00000009734	Pou6f2	-0.59	2.80	0.17	0.65
ENSMUSG00000041236	Vps41	-0.27	6.88	0.22	0.77
ENSMUSG00000021314	Amph	-0.30	6.92	0.15	0.62
ENSMUSG00000076746	Tcrg-V6	1.51	-2.89	1.00	1.00
ENSMUSG00000104962	Trgj1	1.51	-2.89	1.00	1.00
ENSMUSG00000076749	Tcrg-C1	3.23	-1.17	0.03	0.20
ENSMUSG00000076750	Tcrg-V3	1.53	-2.89	1.00	1.00
ENSMUSG00000076752	Tcrg-C2	6.19	-1.16	0.00	0.00
ENSMUSG00000076754	Trgv2	0.93	-2.65	0.93	1.00
ENSMUSG00000076755	Gm16602	1.53	-2.89	1.00	1.00
ENSMUSG00000076757	Tcrg-C4	0.07	-2.06	1.00	1.00
ENSMUSG00000003062	Stard3nl	0.38	4.46	0.15	0.61
ENSMUSG00000002808	Epdr1	0.12	6.03	0.78	1.00
ENSMUSG00000021319	Sfrp4	-0.45	1.12	0.45	1.00
ENSMUSG00000041138	Nme8	-0.36	-2.65	1.00	1.00
ENSMUSG00000047462	A530099J19Rik	2.16	-2.81	0.84	1.00
ENSMUSG00000053101	Gpr141	5.68	2.36	0.00	0.00
ENSMUSG00000050243	Gm5446	-0.77	1.82	0.03	0.20
ENSMUSG00000041112	Elmo1	0.22	5.65	0.49	1.00
ENSMUSG00000097951	Gm7611	2.16	-2.81	0.84	1.00
ENSMUSG00000021322	Aoah	5.68	0.89	0.00	0.00
ENSMUSG00000060404	Olfr1369-ps1	0.15	-0.73	1.00	1.00
ENSMUSG00000021326	Trim27	-0.04	4.02	1.00	1.00
ENSMUSG00000004344	Gpx5	1.43	-2.58	0.84	1.00
ENSMUSG00000004341	Gpx6	1.90	-0.63	0.03	0.21
ENSMUSG00000036721	Zscan12	-0.09	3.04	0.93	1.00
ENSMUSG00000081191	Gm11271	1.39	-2.89	1.00	1.00
ENSMUSG00000021327	Zkscan3	-0.57	5.32	0.02	0.12
ENSMUSG00000055313	Pgbd1	-0.95	1.29	0.03	0.19
ENSMUSG00000085788	4930470G03Rik	-0.62	-0.27	0.56	1.00
ENSMUSG00000022228	Zscan26	-0.55	4.72	0.05	0.31
ENSMUSG00000059395	Nkapl	-0.39	0.54	0.70	1.00
ENSMUSG00000054931	Zkscan4	-0.14	1.08	0.94	1.00
ENSMUSG00000078139	AK157302	0.10	5.72	0.84	1.00
ENSMUSG00000079941	Gm11273	0.37	1.93	0.40	1.00
ENSMUSG00000082396	Zfp389	-0.63	-0.55	0.54	1.00
ENSMUSG00000063894	Zkscan8	-0.35	3.25	0.45	1.00
ENSMUSG00000048996	Olfr1366	-0.21	-2.80	1.00	1.00
ENSMUSG00000054890	Olfr1535	-0.98	-2.38	0.87	1.00
ENSMUSG00000094338	Hist1h2bl	2.01	-2.81	1.00	1.00
ENSMUSG00000071516	Hist1h2ai	0.87	3.09	0.02	0.12
ENSMUSG00000101355	Hist1h3h	-0.14	-2.34	1.00	1.00
ENSMUSG00000096807	Hist1h2bm	4.68	-2.05	0.09	0.43
ENSMUSG00000067455	Hist1h4j	0.77	0.30	0.31	0.93
ENSMUSG00000064288	Hist1h4k	-0.30	-2.81	1.00	1.00
ENSMUSG00000063021	Hist1h2ak	0.44	-2.73	1.00	1.00
ENSMUSG00000095217	Hist1h2bn	1.12	-1.62	0.70	1.00
ENSMUSG00000058773	Hist1h1b	2.67	-1.44	0.09	0.43
ENSMUSG00000101972	Hist1h3i	4.11	-2.33	0.08	0.42
ENSMUSG00000069309	Hist1h2an	3.34	-2.58	0.35	0.98
ENSMUSG00000069308	Hist1h2bp	1.97	-2.08	0.30	0.92
ENSMUSG00000094248	Hist1h2ao	0.55	5.11	0.03	0.22
ENSMUSG00000069306	Hist1h4m	0.53	-0.83	0.79	1.00
ENSMUSG00000069305	Hist1h4n	-0.98	-1.26	0.43	1.00
ENSMUSG00000069303	Hist1h2br	0.74	0.20	0.27	0.86
ENSMUSG00000081576	Gm11279	-1.72	-2.88	1.00	1.00
ENSMUSG00000006720	Zfp184	-1.24	0.15	0.05	0.30
ENSMUSG00000078917	Gm11281	-0.12	-1.24	1.00	1.00
ENSMUSG00000081265	Gm11282	1.51	-2.89	1.00	1.00
ENSMUSG00000006179	Prss16	0.83	0.02	0.28	0.88
ENSMUSG00000043145	Gm11292	1.51	-2.89	1.00	1.00
ENSMUSG00000062727	Hist1h2bk	1.03	-2.40	0.82	1.00
ENSMUSG00000060639	Hist1h4i	0.55	3.00	0.13	0.57
ENSMUSG00000069301	Hist1h2ag	0.22	-2.39	1.00	1.00
ENSMUSG00000069300	Hist1h2bj	-0.14	-2.33	1.00	1.00
ENSMUSG00000084072	Gm11285	1.15	-2.39	0.75	1.00
ENSMUSG00000083319	Gm11284	2.97	-2.66	0.65	1.00
ENSMUSG00000084038	Gm11295	-2.48	-2.80	0.88	1.00
ENSMUSG00000083940	Gm11298	-0.60	-1.77	0.86	1.00
ENSMUSG00000101578	Vmn1r206	2.77	-2.73	0.78	1.00
ENSMUSG00000083413	Vmn1r-ps110	1.51	-2.89	1.00	1.00
ENSMUSG00000082178	Gm11307	-3.93	-2.50	0.56	1.00
ENSMUSG00000084136	Vmn1r207-ps	1.52	-2.89	1.00	1.00
ENSMUSG00000099917	Vmn1r215	-1.69	-2.89	1.00	1.00
ENSMUSG00000084096	Vmn1r-ps135	-1.72	-2.88	1.00	1.00
ENSMUSG00000046351	Zfp322a	-0.73	5.56	0.01	0.07
ENSMUSG00000036376	Abt1	0.50	4.60	0.14	0.59
ENSMUSG00000085024	C230035I16Rik	1.42	1.32	0.00	0.01
ENSMUSG00000000706	Btn1a1	2.54	0.17	0.00	0.00
ENSMUSG00000053216	Btn2a2	-1.10	-2.32	0.86	1.00
ENSMUSG00000060981	Hist1h4h	0.49	1.94	0.33	0.96
ENSMUSG00000061991	Hist1h2af	0.21	-2.12	1.00	1.00
ENSMUSG00000099517	Hist1h3g	2.98	-2.66	0.65	1.00
ENSMUSG00000064168	Hist1h2bh	-0.17	-2.80	1.00	1.00
ENSMUSG00000100210	Hist1h3f	-0.03	-1.98	1.00	1.00
ENSMUSG00000069274	Hist1h4f	-1.06	-2.39	0.88	1.00
ENSMUSG00000052565	Hist1h1d	0.26	-0.54	0.90	1.00
ENSMUSG00000069273	Hist1h3e	0.20	-2.23	1.00	1.00
ENSMUSG00000069272	Hist1h2ae	-0.36	-1.65	0.98	1.00
ENSMUSG00000058385	Hist1h2bg	-0.85	-1.93	0.72	1.00
ENSMUSG00000069268	Hist1h2bf	3.30	-2.59	0.53	1.00
ENSMUSG00000071478	Hist1h2ad	0.46	-2.21	1.00	1.00
ENSMUSG00000099583	Hist1h3d	0.50	-2.00	1.00	1.00
ENSMUSG00000061482	Hist1h4d	0.23	-0.16	0.93	1.00
ENSMUSG00000047246	Hist1h2be	-0.47	2.04	0.29	0.91
ENSMUSG00000051627	Hist1h1e	0.01	3.13	1.00	1.00
ENSMUSG00000069270	Hist1h2ac	1.39	-2.89	1.00	1.00
ENSMUSG00000018102	Hist1h2bc	0.38	6.56	0.39	1.00
ENSMUSG00000036211	Hist1h1t	-2.48	-2.80	0.88	1.00
ENSMUSG00000060678	Hist1h4c	0.47	-0.77	0.85	1.00
ENSMUSG00000006611	Hfe	1.34	2.94	0.00	0.00
ENSMUSG00000036181	Hist1h1c	1.66	6.84	0.00	0.00
ENSMUSG00000069310	Hist1h3c	2.09	-2.06	0.29	0.90
ENSMUSG00000080999	Gm11336	-2.47	-2.80	0.84	1.00
ENSMUSG00000061615	Hist1h2ab	1.88	-2.45	0.52	1.00
ENSMUSG00000069266	Hist1h4b	-0.78	-1.58	0.77	1.00
ENSMUSG00000060093	Hist1h4a	1.14	-2.14	0.69	1.00
ENSMUSG00000069265	Hist1h3a	2.35	-2.24	0.39	1.00
ENSMUSG00000049539	Hist1h1a	0.01	-2.59	1.00	1.00
ENSMUSG00000036110	Slc17a2	2.43	-2.74	0.88	1.00
ENSMUSG00000036083	Slc17a3	2.24	-2.80	0.84	1.00
ENSMUSG00000021335	Slc17a1	1.52	-2.89	1.00	1.00
ENSMUSG00000021337	Scgn	-0.13	0.81	0.97	1.00
ENSMUSG00000021338	Carmil1	0.76	5.23	0.00	0.00
ENSMUSG00000081707	Gm11343	-1.74	-2.88	1.00	1.00
ENSMUSG00000016756	Cmah	1.53	-1.46	0.45	1.00
ENSMUSG00000084788	Gm11342	0.54	-2.52	1.00	1.00
ENSMUSG00000036006	Fam65b	-0.24	5.85	0.53	1.00
ENSMUSG00000085603	Gm11346	0.39	-0.24	0.75	1.00
ENSMUSG00000097838	C530050E15Rik	0.27	-0.70	0.98	1.00
ENSMUSG00000006715	Gmnn	0.42	2.11	0.38	1.00
ENSMUSG00000019132	BC005537	0.12	7.28	0.77	1.00
ENSMUSG00000006717	Acot13	-0.70	6.38	0.00	0.03
ENSMUSG00000035958	Tdp2	-0.15	3.30	0.84	1.00
ENSMUSG00000006711	D130043K22Rik	-0.97	4.51	0.00	0.01
ENSMUSG00000035936	Aldh5a1	-0.66	5.45	0.00	0.01
ENSMUSG00000086448	9330162012Rik	0.28	2.80	0.62	1.00
ENSMUSG00000021340	Gpld1	-0.05	4.45	0.98	1.00
ENSMUSG00000021339	Mrs2	0.12	2.01	0.92	1.00
ENSMUSG00000035910	Dcdc2a	0.50	3.29	0.15	0.61
ENSMUSG00000048978	Nrsn1	-0.31	7.62	0.17	0.66
ENSMUSG00000080840	Gm11349	-0.78	-2.13	0.88	1.00
ENSMUSG00000060198	Gm11353	0.34	3.47	0.30	0.91
ENSMUSG00000045835	Hdgfl1	-0.30	-0.69	0.86	1.00
ENSMUSG00000021342	Prl	-2.83	6.65	0.00	0.03
ENSMUSG00000018259	Prl8a2	1.51	-2.89	1.00	1.00
ENSMUSG00000060738	Prl7c1	1.39	-2.89	1.00	1.00
ENSMUSG00000062551	Prl2c1	2.40	-2.23	0.50	1.00
ENSMUSG00000061330	Gm11361	0.64	7.65	0.01	0.07
ENSMUSG00000085936	2610307P16Rik	2.22	-1.06	0.04	0.25
ENSMUSG00000082861	Gm11362	1.22	-1.77	0.49	1.00
ENSMUSG00000097461	Gm26735	-1.02	-2.39	0.84	1.00
ENSMUSG00000076431	Sox4	0.40	5.98	0.70	1.00
ENSMUSG00000086363	A330102I10Rik	-1.09	4.13	0.00	0.00
ENSMUSG00000082730	Gm11363	-1.69	-2.89	1.00	1.00
ENSMUSG00000006191	Cdkal1	0.10	3.79	0.87	1.00
ENSMUSG00000016477	E2f3	0.07	3.97	0.97	1.00
ENSMUSG00000085188	Gm11368	-2.43	-2.80	0.88	1.00
ENSMUSG00000083676	Gm11367	2.31	-2.80	0.88	1.00
ENSMUSG00000038732	Mboat1	-0.53	2.16	0.15	0.61
ENSMUSG00000049115	Agtr1a	-0.24	-0.67	0.95	1.00
ENSMUSG00000038462	Uqcrfs1	-0.07	6.90	0.88	1.00
ENSMUSG00000069255	Dusp22	-0.14	4.17	0.77	1.00
ENSMUSG00000021356	Irf4	1.16	-0.10	0.39	1.00
ENSMUSG00000021357	Exoc2	0.24	4.12	0.43	1.00
ENSMUSG00000076430	Hus1b	1.33	-2.29	0.72	1.00
ENSMUSG00000056257	Gm5447	-1.72	-2.88	1.00	1.00
ENSMUSG00000082014	Gm11371	-1.12	-2.73	1.00	1.00
ENSMUSG00000087460	4930401O12Rik	2.76	-2.72	0.66	1.00
ENSMUSG00000085620	G630018N14Rik	1.78	-1.93	0.49	1.00
ENSMUSG00000085981	Gm11375	-1.69	-2.89	1.00	1.00
ENSMUSG00000090863	A530084C06Rik	0.28	0.00	0.86	1.00
ENSMUSG00000038415	Foxq1	-0.65	3.17	0.02	0.13
ENSMUSG00000038408	1700018A04Rik	-0.53	-1.56	0.80	1.00
ENSMUSG00000087276	Gm11378	2.82	-2.72	0.79	1.00
ENSMUSG00000038402	Foxf2	0.03	2.11	1.00	1.00
ENSMUSG00000050295	Foxc1	0.70	4.31	0.00	0.02
ENSMUSG00000038372	Gmds	-0.19	2.72	0.72	1.00
ENSMUSG00000083149	Gm11380	-0.26	-2.38	1.00	1.00
ENSMUSG00000044951	Mylk4	1.36	-2.08	0.69	1.00
ENSMUSG00000021400	Wrnip1	-0.23	5.72	0.48	1.00
ENSMUSG00000044734	Serpinb1a	-2.11	3.03	0.00	0.00
ENSMUSG00000042842	Serpinb6b	1.96	1.74	0.00	0.00
ENSMUSG00000045827	Serpinb9	1.93	3.36	0.00	0.00
ENSMUSG00000021403	Serpinb9b	2.22	-1.14	0.09	0.45
ENSMUSG00000051029	Serpinb1b	0.46	1.98	0.30	0.92
ENSMUSG00000038327	Serpinb9f	-4.43	-2.32	0.47	1.00
ENSMUSG00000069248	Serpinb6e	1.97	-2.08	0.43	1.00
ENSMUSG00000052180	Serpinb6c	0.31	-2.01	1.00	1.00
ENSMUSG00000060147	Serpinb6a	0.36	4.87	0.24	0.82
ENSMUSG00000046949	Nqo2	0.33	3.07	0.42	1.00
ENSMUSG00000021408	Ripk1	1.91	1.60	0.00	0.00
ENSMUSG00000091462	Gm17084	1.18	-1.81	0.67	1.00
